TimeOfStop, SubAgency, Description, State, VehicleType, Year, Make, Color, ViolationType, Article, ContributedToAccident, Race, Gender, DriverCity, DriverState, DLState, ArrestType
1:00:00, 6th district Gaithersburg / Montgomery Village, LICENSE OR REGISTRATION RELATED, MD, 05 - Light Duty Truck, 2005, FORD, RED, Citation, Transportation Article, No, HISPANIC, M, CLARKSBURG, MD, MD, A - Marked Patrol
8:00:00, 4th district Wheaton, SPEEDING, MD, 02 - Automobile, 2004, ACUR, GOLD, Citation, Transportation Article, No, OTHER, M, TAKOMA PARK, MD, MD, Q - Marked Laser
8:00:00, 2nd district Bethesda, MINOR INFRACTION, MD, 10 - Transit Bus, 2012, GILL, BLUE, Citation, Transportation Article, No, BLACK, F, FORESTVILLE, MD, MD, A - Marked Patrol
14:00:00, 6th district Gaithersburg / Montgomery Village, PLATE VIOLATION, MD, 02 - Automobile, 2005, CADI, BLACK, Citation, Transportation Article, No, WHITE, M, GAITHERSBURG, MD, MD, A - Marked Patrol
12:00:00, Headquarters and Special Operations, PEDESTRIAN INFRACTION, XX, 29 - Unknown, __EMPTY__, NONE, N/A, Citation, Transportation Article, No, HISPANIC, M, SILVER SPRING, MD, MD, O - Foot Patrol
1:00:00, 6th district Gaithersburg / Montgomery Village, LICENSE OR REGISTRATION RELATED, MD, 05 - Light Duty Truck, 2005, FORD, RED, Citation, Transportation Article, No, HISPANIC, M, CLARKSBURG, MD, MD, A - Marked Patrol
23:00:00, 2nd district Bethesda, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2008, HONDA, GRAY, Citation, Transportation Article, No, WHITE, F, SILVER SPRING, MD, MD, A - Marked Patrol
23:00:00, 2nd district Bethesda, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2008, HONDA, GRAY, Citation, Transportation Article, No, WHITE, F, SILVER SPRING, MD, MD, A - Marked Patrol
23:00:00, 6th district Gaithersburg / Montgomery Village, MINOR INFRACTION, XX, 29 - Unknown, __EMPTY__, NONE, N/A, Citation, Transportation Article, No, BLACK, F, GAITHERSBURG, MD, MN, A - Marked Patrol
21:00:00, 1st district Rockville, ACCIDENT RELATED, MD, 02 - Automobile, 2011, AUDI, BLACK, Citation, Transportation Article, No, ASIAN, M, POTOMAC, MD, MD, A - Marked Patrol
23:00:00, 4th district Wheaton, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2006, MERCEDEZ, BLACK, Citation, Transportation Article, No, BLACK, M, SILVER SPRING, MD, MD, A - Marked Patrol
14:00:00, 3rd district Silver Spring, RECKLESS DRIVING, MD, 02 - Automobile, 2008, BUICK, WHITE, Citation, Transportation Article, Yes, BLACK, M, BALTIMORE, MD, MD, A - Marked Patrol
23:00:00, 4th district Wheaton, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2006, MERCEDEZ, BLACK, Citation, Transportation Article, No, BLACK, M, SILVER SPRING, MD, MD, A - Marked Patrol
23:00:00, 4th district Wheaton, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2006, MERCEDEZ, BLACK, Citation, Transportation Article, No, BLACK, M, SILVER SPRING, MD, MD, A - Marked Patrol
20:00:00, 6th district Gaithersburg / Montgomery Village, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2000, CHEV, WHITE, Citation, Transportation Article, No, HISPANIC, M, RIVERDALE, MD, MD, A - Marked Patrol
16:00:00, 6th district Gaithersburg / Montgomery Village, LICENSE OR REGISTRATION RELATED, MD, 01 - Motorcycle, 2012, KAWASAKI, GREEN, Citation, Transportation Article, No, WHITE, F, GAITHERSBURG, MD, MD, A - Marked Patrol
22:00:00, 5th district Germantown, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2013, ACURA, BLACK, Citation, Transportation Article, No, ASIAN, M, GERMANTOWN, MD, MD, A - Marked Patrol
20:00:00, 3rd district Silver Spring, SPEEDING, MD, 02 - Automobile, 2000, HONDA, RED, Citation, Transportation Article, No, BLACK, M, SILVER SPRING, MD, XX, A - Marked Patrol
14:00:00, 6th district Gaithersburg / Montgomery Village, SPEEDING, MD, 08 - Recreational Vehicle, 2012, JEEP, GRAY, Citation, Transportation Article, Yes, WHITE, F, NEW MARKET, MD, MD, A - Marked Patrol
10:00:00, 3rd district Silver Spring, MINOR INFRACTION, MD, 02 - Automobile, 2008, FORD, BLUE DARK, Citation, Transportation Article, No, WHITE, M, GLEN ARM, MD, MD, A - Marked Patrol
13:00:00, 4th district Wheaton, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2008, TOYT, GREEN, Citation, Transportation Article, No, ASIAN, M, AMHERST, NY, NY, A - Marked Patrol
9:00:00, 6th district Gaithersburg / Montgomery Village, PLATE VIOLATION, MD, 02 - Automobile, 2004, MITSUBISHI, WHITE, Citation, Transportation Article, No, WHITE, M, GERMANTOWN, MD, MD, A - Marked Patrol
23:00:00, 4th district Wheaton, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2006, MERCEDEZ, BLACK, Citation, Transportation Article, No, BLACK, M, SILVER SPRING, MD, MD, A - Marked Patrol
5:00:00, 4th district Wheaton, MINOR INFRACTION, MD, 02 - Automobile, 2001, FORD, BLACK, Citation, Transportation Article, No, HISPANIC, M, ROCKVILLE, MD, MD, A - Marked Patrol
23:00:00, 6th district Gaithersburg / Montgomery Village, SPEEDING, MD, 02 - Automobile, 2003, FORD, BLUE, Citation, Transportation Article, No, HISPANIC, F, GERMANTOWN, MD, MD, A - Marked Patrol
22:00:00, 4th district Wheaton, DISOBEY TRAFFIC CONTROL, MD, 02 - Automobile, 2002, HONDA, BLACK, Citation, Transportation Article, No, WHITE, F, ROCKVILLE, MD, MD, A - Marked Patrol
6:00:00, 4th district Wheaton, SPEEDING, XX, 19 - Moped, 2012, SUNNY, RED, Citation, Transportation Article, No, HISPANIC, M, SILVER SPRING, MD, XX, A - Marked Patrol
0:00:00, 3rd district Silver Spring, IMPAIRED BY DRUGS OR ALCOHOL, MD, 02 - Automobile, 2000, FORD, TAN, Citation, Transportation Article, No, BLACK, F, ASPEN HILL, MD, MD, A - Marked Patrol
0:00:00, 3rd district Silver Spring, IMPAIRED BY DRUGS OR ALCOHOL, MD, 02 - Automobile, 2000, FORD, TAN, Citation, Transportation Article, No, BLACK, F, ASPEN HILL, MD, MD, A - Marked Patrol
8:00:00, 3rd district Silver Spring, MINOR INFRACTION, MD, 05 - Light Duty Truck, 2007, LINCOLN, CREAM, Citation, Transportation Article, No, WHITE, M, SILVER SPRING, MD, MD, A - Marked Patrol
22:00:00, Headquarters and Special Operations, VEHICLE OR EQUIPMENT VIOLATION, MD, 02 - Automobile, 1996, HOND, WHITE, Citation, Transportation Article, No, HISPANIC, M, HYATTSVILLE, MD, MD, B - Unmarked Patrol
17:00:00, 6th district Gaithersburg / Montgomery Village, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2001, TOYOTA, BLUE, Citation, Transportation Article, No, BLACK, F, MONTGOMERY VILLAGE, MD, MD, A - Marked Patrol
11:00:00, 4th district Wheaton, DISOBEY TRAFFIC CONTROL, MD, 02 - Automobile, 1997, FORD, RED, Citation, Transportation Article, No, HISPANIC, F, SILVER SPRING, MD, MD, A - Marked Patrol
22:00:00, 6th district Gaithersburg / Montgomery Village, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2001, CHRY, SILVER, Citation, Transportation Article, No, BLACK, F, GAITHERSBURG, MD, MD, M - Marked (Off-Duty)
20:00:00, 6th district Gaithersburg / Montgomery Village, DISOBEY TRAFFIC CONTROL, MD, 02 - Automobile, 2002, INFI, SILVER, Citation, Transportation Article, No, HISPANIC, F, GAITHERSBURG, MD, MD, A - Marked Patrol
0:00:00, 1st district Rockville, IMPAIRED BY DRUGS OR ALCOHOL, MD, 02 - Automobile, 2000, SUBARU, WHITE, Citation, Transportation Article, No, WHITE, M, BETHESDA, MD, MD, Q - Marked Laser
21:00:00, 5th district Germantown, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 1998, TOYOTA, WHITE, Citation, Transportation Article, No, BLACK, M, GERMANTOWN, MD, MD, A - Marked Patrol
0:00:00, 3rd district Silver Spring, MINOR INFRACTION, MD, 02 - Automobile, 2000, FORD, TAN, Citation, Transportation Article, No, BLACK, F, ASPEN HILL, MD, MD, A - Marked Patrol
0:00:00, 3rd district Silver Spring, RECKLESS DRIVING, MD, 02 - Automobile, 2000, FORD, TAN, Citation, Transportation Article, No, BLACK, F, ASPEN HILL, MD, MD, A - Marked Patrol
0:00:00, 3rd district Silver Spring, RECKLESS DRIVING, MD, 02 - Automobile, 2000, FORD, TAN, Citation, Transportation Article, No, BLACK, F, ASPEN HILL, MD, MD, A - Marked Patrol
11:00:00, 5th district Germantown, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2005, GMC, BLACK, Citation, Transportation Article, No, WHITE, M, DAMASCUS, MD, MD, A - Marked Patrol
12:00:00, 1st district Rockville, LICENSE OR REGISTRATION RELATED, VA, 02 - Automobile, 1999, HONDA, GREEN, Citation, Transportation Article, No, WHITE, M, NORTH POTOMAC, MD, MD, A - Marked Patrol
20:00:00, 6th district Gaithersburg / Montgomery Village, RECKLESS DRIVING, MD, 02 - Automobile, 2012, TOYOTA, PURPLE, Citation, Transportation Article, No, NATIVE AMERICAN, F, GAITHERSBURG, MD, MD, A - Marked Patrol
8:00:00, 4th district Wheaton, RECKLESS DRIVING, MD, 02 - Automobile, 2003, LEXUS, BLACK, Citation, Transportation Article, No, WHITE, M, OLNEY, MD, MD, A - Marked Patrol
22:00:00, 2nd district Bethesda, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2011, MAZDA, SILVER, Citation, Transportation Article, No, BLACK, M, TEMPLE HILLS, MD, MD, A - Marked Patrol
19:00:00, 5th district Germantown, PLATE VIOLATION, MD, 02 - Automobile, 2007, BMW, TAN, Citation, Transportation Article, No, OTHER, M, BETHESDA, MD, MD, A - Marked Patrol
14:00:00, 1st district Rockville, LICENSE OR REGISTRATION RELATED, MD, 28 - Other, 2013, HYUNDA, RED, Citation, Transportation Article, No, WHITE, M, BETHESDA, MD, CA, A - Marked Patrol
9:00:00, 6th district Gaithersburg / Montgomery Village, SPEEDING, MD, 02 - Automobile, 1997, HOND, BEIGE, Citation, Transportation Article, Yes, WHITE, M, SILVER SPRING, MD, MD, A - Marked Patrol
12:00:00, 2nd district Bethesda, MINOR INFRACTION, MD, 02 - Automobile, 1999, NISS, TAN, Citation, Transportation Article, No, OTHER, M, SILVER SPRING, MD, MD, A - Marked Patrol
2:00:00, 1st district Rockville, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2005, WV, GRAY, Citation, Transportation Article, No, WHITE, M, DARNESTOWN, MD, MD, A - Marked Patrol
9:00:00, 4th district Wheaton, SPEEDING, MD, 02 - Automobile, 1999, HONDA, BLACK, Citation, Transportation Article, No, OTHER, M, OLNEY, MD, MD, Q - Marked Laser
10:00:00, 1st district Rockville, LICENSE OR REGISTRATION RELATED, MD, 08 - Recreational Vehicle, 1998, FORD, BLACK, Citation, Transportation Article, No, HISPANIC, M, BALTIMORE, MD, MD, A - Marked Patrol
14:00:00, 2nd district Bethesda, PLATE VIOLATION, VA, 02 - Automobile, 1998, CHEVROLET, GOLD, Citation, Transportation Article, No, BLACK, M, TAKOMA PARK, MD, MD, A - Marked Patrol
18:00:00, 3rd district Silver Spring, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 1996, HONDA, SILVER, Citation, Transportation Article, No, HISPANIC, M, SILVER SPRING, MD, XX, A - Marked Patrol
23:00:00, 2nd district Bethesda, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2011, NISS, BLACK, Citation, Transportation Article, No, BLACK, M, ACCOKEEK, MD, MD, A - Marked Patrol
23:00:00, 2nd district Bethesda, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2011, NISS, BLACK, Citation, Transportation Article, No, BLACK, M, ACCOKEEK, MD, MD, A - Marked Patrol
23:00:00, 2nd district Bethesda, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2011, NISS, BLACK, Citation, Transportation Article, No, BLACK, M, ACCOKEEK, MD, MD, A - Marked Patrol
9:00:00, 2nd district Bethesda, LICENSE OR REGISTRATION RELATED, VA, 02 - Automobile, 1994, DODGE, BLACK, Citation, Transportation Article, No, ASIAN, M, ROCKVILLE, MD, MD, A - Marked Patrol
18:00:00, 4th district Wheaton, PHONE RELATED, MD, 02 - Automobile, 2002, HOND, SILVER, Citation, Transportation Article, No, BLACK, M, SANDY SPRING, MD, MD, A - Marked Patrol
10:00:00, 3rd district Silver Spring, SPEEDING, MD, 02 - Automobile, 2007, PONT, BLACK, Citation, Transportation Article, No, HISPANIC, F, BOWIE, MD, MD, Q - Marked Laser
9:00:00, 6th district Gaithersburg / Montgomery Village, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2013, AUDI, BLACK, Citation, Transportation Article, No, BLACK, M, BEAUFORT, SC, SC, A - Marked Patrol
18:00:00, 3rd district Silver Spring, SPEEDING, MD, 02 - Automobile, 2009, TOYOT, BLACK, Citation, Transportation Article, Yes, WHITE, M, ELKRIDGE, MD, MD, A - Marked Patrol
2:00:00, 3rd district Silver Spring, RECKLESS DRIVING, DC, 02 - Automobile, 2013, CHRYSLER, WHITE, Citation, Transportation Article, No, BLACK, M, WASHINGTON, DC, DC, A - Marked Patrol
16:00:00, 2nd district Bethesda, MINOR INFRACTION, MD, 02 - Automobile, 2004, HONDA, GRAY, Citation, Transportation Article, No, HISPANIC, F, SILVER SPRING, MD, MD, A - Marked Patrol
5:00:00, 4th district Wheaton, MINOR INFRACTION, MD, 02 - Automobile, 1996, FORD, GREEN, Citation, Transportation Article, No, WHITE, F, HYATTSVILL, MD, MD, B - Unmarked Patrol
0:00:00, 3rd district Silver Spring, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2000, TOYOTA, TAN, Citation, Transportation Article, No, HISPANIC, M, SILVER SPRING, MD, MD, A - Marked Patrol
10:00:00, 4th district Wheaton, PLATE VIOLATION, MD, 02 - Automobile, 1996, OLDS, WHITE, Citation, Transportation Article, No, WHITE, M, ROCKVILLE, MD, MD, A - Marked Patrol
0:00:00, 4th district Wheaton, MINOR INFRACTION, MD, 05 - Light Duty Truck, 2001, FORD, WHITE, Citation, Transportation Article, No, HISPANIC, M, WHEATON, MD, MD, A - Marked Patrol
23:00:00, 2nd district Bethesda, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2011, NISS, BLACK, Citation, Transportation Article, No, BLACK, M, ACCOKEEK, MD, MD, A - Marked Patrol
22:00:00, 6th district Gaithersburg / Montgomery Village, SPEEDING, MD, 02 - Automobile, 2017, SUBARU, SILVER, Citation, Transportation Article, No, HISPANIC, M, GAITHERSBURG, MD, MD, Q - Marked Laser
10:00:00, 1st district Rockville, DRIVING UNINSURED VEHICLE, XX, 02 - Automobile, 1999, LEXUS, WHITE, Citation, Transportation Article, No, HISPANIC, M, GERMANTOWN, MD, MD, A - Marked Patrol
10:00:00, 3rd district Silver Spring, PHONE RELATED, MD, 02 - Automobile, 2002, TOYT, RED, Citation, Transportation Article, No, HISPANIC, F, SILVER SPRING, MD, MD, A - Marked Patrol
22:00:00, 6th district Gaithersburg / Montgomery Village, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2017, SUBARU, SILVER, Citation, Transportation Article, No, HISPANIC, M, GAITHERSBURG, MD, MD, Q - Marked Laser
13:00:00, Headquarters and Special Operations, SPEEDING, MD, 02 - Automobile, 2008, NISSAN, BLACK, Citation, Transportation Article, No, WHITE, F, WALKERSVILLE, MD, MD, A - Marked Patrol
1:00:00, 1st district Rockville, IMPAIRED BY DRUGS OR ALCOHOL, MD, 02 - Automobile, 2016, TOYT, WHITE, Citation, Transportation Article, No, WHITE, M, COLOMBIA, MD, MD, A - Marked Patrol
1:00:00, 1st district Rockville, IMPAIRED BY DRUGS OR ALCOHOL, MD, 02 - Automobile, 2016, TOYT, WHITE, Citation, Transportation Article, No, WHITE, M, COLOMBIA, MD, MD, A - Marked Patrol
17:00:00, 5th district Germantown, SPEEDING, MD, 02 - Automobile, 2013, HONDA, SILVER, Citation, Transportation Article, No, WHITE, M, GERMANTOWN, MD, MD, A - Marked Patrol
20:00:00, 5th district Germantown, SPEEDING, PA, 05 - Light Duty Truck, 2006, DODGE, BLUE LIGHT, Citation, Transportation Article, No, WHITE, M, MECHANICSBURG, PA, PA, A - Marked Patrol
22:00:00, 3rd district Silver Spring, MINOR INFRACTION, NY, 02 - Automobile, 2003, LNDR, GREEN, Citation, Transportation Article, No, ASIAN, M, FLUSHING, NY, NY, A - Marked Patrol
13:00:00, 3rd district Silver Spring, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2006, NISS, BLACK, Citation, Transportation Article, No, HISPANIC, F, COLLEGE PARK, MD, MD, Q - Marked Laser
11:00:00, 5th district Germantown, IMPAIRED BY DRUGS OR ALCOHOL, MD, 02 - Automobile, 2006, FORD, BLACK, Citation, Transportation Article, No, WHITE, M, BOWIE, MD, MD, A - Marked Patrol
0:00:00, 4th district Wheaton, IMPAIRED BY DRUGS OR ALCOHOL, MD, 02 - Automobile, 2010, TOYOTA, GRAY, Citation, Transportation Article, No, HISPANIC, M, SILVER SPRING, MD, MD, A - Marked Patrol
8:00:00, 2nd district Bethesda, MINOR INFRACTION, MD, 02 - Automobile, 2011, CHEVY, BLACK, Citation, Transportation Article, No, WHITE, M, GAITHERSBURG, MD, MD, A - Marked Patrol
1:00:00, 1st district Rockville, IMPAIRED BY DRUGS OR ALCOHOL, MD, 02 - Automobile, 2016, TOYT, WHITE, Citation, Transportation Article, No, WHITE, M, COLOMBIA, MD, MD, A - Marked Patrol
1:00:00, 1st district Rockville, RECKLESS DRIVING, MD, 02 - Automobile, 2016, TOYT, WHITE, Citation, Transportation Article, No, WHITE, M, COLOMBIA, MD, MD, A - Marked Patrol
16:00:00, 5th district Germantown, LICENSE OR REGISTRATION RELATED, TN, 02 - Automobile, 2014, JEEP, WHITE, Citation, Transportation Article, No, BLACK, M, DAMASCUS, MD, MD, A - Marked Patrol
1:00:00, 1st district Rockville, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2016, TOYT, WHITE, Citation, Transportation Article, No, WHITE, M, COLOMBIA, MD, MD, A - Marked Patrol
10:00:00, 5th district Germantown, LICENSE OR REGISTRATION RELATED, DC, 02 - Automobile, 2013, DODGE, SILVER, Citation, Transportation Article, No, BLACK, M, GERMANTOWN, MD, DC, Q - Marked Laser
1:00:00, Headquarters and Special Operations, RECKLESS DRIVING, MD, 02 - Automobile, 2003, SATURN, RED, Citation, Transportation Article, No, HISPANIC, M, HYATTSVILLE, MD, MD, A - Marked Patrol
1:00:00, 1st district Rockville, IMPAIRED BY DRUGS OR ALCOHOL, MD, 02 - Automobile, 2016, TOYT, WHITE, Citation, Transportation Article, No, WHITE, M, COLOMBIA, MD, MD, A - Marked Patrol
15:00:00, 3rd district Silver Spring, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 1996, TOYOTA, GREEN, Citation, Transportation Article, No, BLACK, M, LAUREL, MD, MD, A - Marked Patrol
13:00:00, 3rd district Silver Spring, ACCIDENT RELATED, MD, 02 - Automobile, 2003, LINC, BLACK, Citation, Transportation Article, No, BLACK, M, SILVER SPRING, MD, MD, A - Marked Patrol
1:00:00, 1st district Rockville, VEHICLE OR EQUIPMENT VIOLATION, MD, 02 - Automobile, 2016, TOYT, WHITE, Citation, Transportation Article, No, WHITE, M, COLOMBIA, MD, MD, A - Marked Patrol
9:00:00, 3rd district Silver Spring, PLATE VIOLATION, DE, 02 - Automobile, 2010, BUICK, SILVER, Citation, Transportation Article, No, BLACK, F, FAIRMOUNT HEIGHTS, MD, MD, A - Marked Patrol
15:00:00, 2nd district Bethesda, PLATE VIOLATION, MD, 02 - Automobile, 2004, CHEVY, GRAY, Citation, Transportation Article, No, NATIVE AMERICAN, M, BOWIE, MD, MD, A - Marked Patrol
0:00:00, 4th district Wheaton, VEHICLE OR EQUIPMENT VIOLATION, MD, 02 - Automobile, 1997, SUBRARU, BLUE, Citation, Transportation Article, No, HISPANIC, M, ROCKVILLE, MD, XX, A - Marked Patrol
23:00:00, 3rd district Silver Spring, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2006, CHEVY, SILVER, Citation, Transportation Article, No, BLACK, M, SILVER SPRING, MD, MD, A - Marked Patrol
16:00:00, Headquarters and Special Operations, PLATE VIOLATION, MD, 02 - Automobile, 2007, TOYOTA, WHITE, Citation, Transportation Article, No, WHITE, M, SILVER SPRING, MD, MD, B - Unmarked Patrol
16:00:00, 5th district Germantown, LICENSE OR REGISTRATION RELATED, MD, 05 - Light Duty Truck, 1996, CHEV, GREEN, Citation, Transportation Article, No, WHITE, M, SYKESVILLE, MD, MD, A - Marked Patrol
17:00:00, 2nd district Bethesda, PLATE VIOLATION, VA, 05 - Light Duty Truck, 2015, LANDROVER, WHITE, Citation, Transportation Article, No, WHITE, F, POTOMAC, MD, MD, A - Marked Patrol
0:00:00, 5th district Germantown, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2000, DODGE, GOLD, Citation, Transportation Article, No, BLACK, M, SILVER SPRING, MD, MD, A - Marked Patrol
10:00:00, 3rd district Silver Spring, MINOR INFRACTION, MD, 02 - Automobile, 2014, TOY, BLUE, Citation, Transportation Article, No, BLACK, M, SILVER SPRING, MD, MD, A - Marked Patrol
8:00:00, 5th district Germantown, SPEEDING, MD, 02 - Automobile, 2010, INFINITI, BEIGE, Citation, Transportation Article, No, WHITE, M, GERMANTOWN, MD, MD, A - Marked Patrol
1:00:00, 1st district Rockville, SPEEDING, MD, 02 - Automobile, 2016, TOYT, WHITE, Citation, Transportation Article, No, WHITE, M, COLOMBIA, MD, MD, A - Marked Patrol
14:00:00, 6th district Gaithersburg / Montgomery Village, LICENSE OR REGISTRATION RELATED, MD, 02 - Automobile, 2006, CHRYSLER, BLUE LIGHT, Citation, Transportation Article, No, BLACK, M, MONTGOMERY VILLAGE, MD, MD, A - Marked Patrol
23:00:00, 1st district Rockville, SPEEDING, MD, 02 - Automobile, 2006, FORD, RED, Citation, Transportation Article, No, HISPANIC, M, SILVER SPRING, MD, MD, A - Marked Patrol
